log_id,timestamp,satellite_id,satellite_name,orbit_type,satellite_type,ground_station,operator_id,error_code,error_description,subsystem,severity,link_type,protocol,frequency_mhz,snr_db,bit_error_rate,elevation_angle_deg,event_duration_ms,retry_count,weather_condition,requires_action,resolved,resolution_action,resolution_time_min
WTE-LOG-00001,2022-12-13 17:53:58,WTE-SAT-011,Wayne IoT Hub South,LEO,IoT,GS-GOTHAM-01,P.Parker,ERR-RX-004,Doppler correction error,Receptor,LOW,Ka-Band,DVB-S2,26710.961,17.23,1.8e-05,-999.0,18728513,6.0,Cloudy,False,True,Rebooted subsystem — nominal restored,2299
WTE-LOG-00002,2023-06-07 21:09:15,WTE-SAT-012,Wayne IoT Hub East,MEO,IoT,GS-LONDON-01,R.Drake,ERR-OBC-004,EDAC correction overflow,OBC,MEDIUM,X-Band,DVB-S2,8159.617,9.02,4.4e-09,34.2,13718481,8.0,Clear,False,False,Pending investigation,0
WTE-LOG-00003,2022-05-04 22:51:37,WTE-SAT-012,Wayne IoT Hub East,MEO,IoT,GS-GOTHAM-01,B.Banner,ERR-RX-001,Receiver desensitization detected,Receptor,HIGH,X-Band,TCP/IP-over-CCSDS,8161.812,21.92,6.7e-06,36.5,31244713,6.0,Snow,True,True,Switched to backup transponder,2496
WTE-LOG-00004,2023-09-16 04:30:26,WTE-SAT-006,Oracle Eye II,GEO,Observación,GS-TELAVIV-01,N.Romanov,ERR-TX-004,Modulation index out of range,Transmisor,LOW,S-Band,TCP/IP-over-CCSDS,2114.576,13.63,2.9e-09,79.5,35935622,10.0,Cloudy,False,True,Manual command override applied,2634
WTE-LOG-00005,2022-06-20 08:00:57,WTE-SAT-004,WayneTech Relay Delta,MEO,Relay,GS-TORONTO-01,D.Pennyworth,ERR-ANT-001,Antenna pointing loss,Antena,CRITICAL,S-Band,CCSDS,2061.553,10.6,6.3e-06,55.7,20514064,14.0,Snow,True,False,Pending investigation,0
WTE-LOG-00006,2024-02-28 15:44:40,WTE-SAT-008,Wayne Sentinel Prime,GEO,Seguridad,GS-SINGAPORE-01,O.Queen,ERR-TX-001,Signal loss > threshold,Transmisor,CRITICAL,Optical,DVB-S2,193736.668,10.37,0.0066,48.2,14282268,6.0,Rain,True,True,Antenna calibration sequence executed,2210
WTE-LOG-00007,2022-05-03 08:16:32,WTE-SAT-013,Project Oracle Node A,LEO,Datos,GS-TELAVIV-01,L.Fox.Jr,ERR-CMD-004,Invalid command sequence,Comando,LOW,X-Band,TM/TC,8072.16,16.75,0.0057,61.1,11496261,5.0,Snow,False,True,False positive — closed after 24h monitoring,1734
WTE-LOG-00008,2022-04-10 11:03:30,WTE-SAT-015,WTE Deep Space Probe I,HEO,Investigación,GS-DUBAI-01,B.Wayne,ERR-ADCS-003,Star tracker blinded — solar proximity,ADCS,HIGH,X-Band,DVB-S2,8111.293,7.03,6.2e-09,23.7,45377126,2.0,Clear,False,True,Adjusted frequency offset manually,1354
WTE-LOG-00009,2024-10-20 16:39:27,WTE-SAT-013,Project Oracle Node A,LEO,Datos,GS-SYDNEY-01,L.McGinnis,ERR-TCS-003,Radiator blockage suspected,Térmico,LOW,S-Band,CCSDS,2088.97,14.24,0.0075,88.7,57854760,3.0,Clear,False,True,Reaction wheel speed adjusted,448
WTE-LOG-00010,2022-01-23 22:12:45,WTE-SAT-014,Project Oracle Node B,LEO,Datos,GS-GOTHAM-02,L.Fox.Jr,ERR-PROP-002,Propellant pressure low,Propulsión,HIGH,VHF,TM/TC,142.32,22.9,0.0086,46.3,12517567,6.0,Clear,True,False,Pending investigation,0
